Gene
EGR3
KRT16
PI3
TP53
NOTCH1
CDKN2A
HIF1A
MMP3
CCNA2
CCNB2
UBE2C
BRCA1
BRCA2
BARD1
BRIP1
PALB2
RAD51
RAD54L
XRCC3
ERBB2
HER2
ESR1
ER1
PGR
GATA3
PIK3CA
PPM1D
RB1CC1
HMMR
NQO2
SLC22A18
PTEN
EGFR
KIT
NOTCH4
FZD7
LRP6
FGFR1
CCND1
