,query,symbol
192,ENSG00000108669,CYTH1
193,ENSG00000108679,LGALS3BP
194,ENSG00000108691,CCL2
195,ENSG00000108786,HSD17B1
196,ENSG00000108821,COL1A1
197,ENSG00000108826,MRPL27
198,ENSG00000108950,FAM20A
199,ENSG00000109062,NHERF1
200,ENSG00000109472,CPE
201,ENSG00000109610,SOD3
202,ENSG00000109846,CRYAB
203,ENSG00000110092,CCND1
204,ENSG00000110330,BIRC2
205,ENSG00000110448,CD5
206,ENSG00000110492,MDK
207,ENSG00000110660,SLC35F2
208,ENSG00000110711,AIP
209,ENSG00000110799,VWF
210,ENSG00000110876,SELPLG
211,ENSG00000111057,KRT18
212,ENSG00000111199,TRPV4
213,ENSG00000111341,MGP
214,ENSG00000111348,ARHGDIB
215,ENSG00000111671,SPSB2
216,ENSG00000111716,LDHB
217,ENSG00000111799,COL12A1
218,ENSG00000111912,NCOA7
219,ENSG00000112096,
220,ENSG00000112245,PTP4A1
221,ENSG00000112378,PERP
222,ENSG00000112559,MDFI
223,ENSG00000112561,TFEB
224,ENSG00000112562,SMOC2
225,ENSG00000112655,PTK7
226,ENSG00000112996,MRPS30
227,ENSG00000113140,SPARC
228,ENSG00000113555,PCDH12
229,ENSG00000113739,STC2
230,ENSG00000113758,DBN1
231,ENSG00000113916,BCL6
232,ENSG00000114115,RBP1
233,ENSG00000114270,COL7A1
234,ENSG00000114735,HEMK1
235,ENSG00000115137,DNAJC27
236,ENSG00000115138,POMC
237,ENSG00000115255,REEP6
238,ENSG00000115267,IFIH1
239,ENSG00000115380,EFEMP1
240,ENSG00000115414,FN1
241,ENSG00000115457,IGFBP2
242,ENSG00000115461,IGFBP5
243,ENSG00000115648,MLPH
244,ENSG00000115884,SDC1
245,ENSG00000116133,DHCR24
246,ENSG00000116774,OLFML3
247,ENSG00000116824,CD2
248,ENSG00000117115,PADI2
249,ENSG00000117122,MFAP2
250,ENSG00000117228,GBP1
251,ENSG00000117519,CNN3
252,ENSG00000117632,STMN1
253,ENSG00000117984,CTSD
254,ENSG00000118094,TREH
255,ENSG00000118523,CCN2
256,ENSG00000118785,SPP1
257,ENSG00000118849,RARRES1
258,ENSG00000119280,C1orf198
259,ENSG00000119630,PGF
260,ENSG00000119917,IFIT3
261,ENSG00000120093,HOXB3
262,ENSG00000120129,DUSP1
263,ENSG00000120318,ARAP3
264,ENSG00000120738,EGR1
265,ENSG00000120875,DUSP4
266,ENSG00000120885,CLU
267,ENSG00000121039,RDH10
268,ENSG00000121068,TBX2
269,ENSG00000121753,ADGRB2
270,ENSG00000121858,TNFSF10
271,ENSG00000121898,CPXM2
272,ENSG00000122122,SASH3
273,ENSG00000122176,FMOD
274,ENSG00000122679,RAMP3
275,ENSG00000122694,GLIPR2
276,ENSG00000122971,ACADS
277,ENSG00000123243,ITIH5
278,ENSG00000123342,MMP19
279,ENSG00000123358,NR4A1
280,ENSG00000123689,G0S2
281,ENSG00000123810,B9D2
282,ENSG00000124126,PREX1
283,ENSG00000124212,PTGIS
284,ENSG00000124249,KCNK15
285,ENSG00000124664,SPDEF
286,ENSG00000124766,SOX4
287,ENSG00000124772,CPNE5
288,ENSG00000124795,DEK
289,ENSG00000125089,SH3TC1
290,ENSG00000125386,FAM193A
291,ENSG00000125730,C3
292,ENSG00000125740,FOSB
293,ENSG00000125843,AP5S1
294,ENSG00000126091,ST3GAL3
295,ENSG00000126264,HCST
296,ENSG00000126561,STAT5A
297,ENSG00000126603,GLIS2
298,ENSG00000126709,IFI6
299,ENSG00000126878,AIF1L
300,ENSG00000127084,FGD3
301,ENSG00000127580,WDR24
302,ENSG00000128016,ZFP36
303,ENSG00000128322,IGLL1
304,ENSG00000128422,KRT17
305,ENSG00000128602,SMO
306,ENSG00000128709,HOXD9
307,ENSG00000129009,ISLR
308,ENSG00000129158,SERGEF
309,ENSG00000129465,RIPK3
310,ENSG00000129538,RNASE1
311,ENSG00000129757,CDKN1C
312,ENSG00000129946,SHC2
313,ENSG00000130005,GAMT
314,ENSG00000130052,STARD8
315,ENSG00000130176,CNN1
316,ENSG00000130203,APOE
317,ENSG00000130208,APOC1
318,ENSG00000130303,BST2
319,ENSG00000130513,GDF15
320,ENSG00000130600,H19
321,ENSG00000130653,PNPLA7
322,ENSG00000130707,ASS1
323,ENSG00000130714,POMT1
324,ENSG00000130755,GMFG
325,ENSG00000130766,SESN2
326,ENSG00000131094,C1QL1
327,ENSG00000131196,NFATC1
328,ENSG00000131471,AOC3
329,ENSG00000131711,MAP1B
330,ENSG00000131748,STARD3
331,ENSG00000132000,PODNL1
332,ENSG00000132205,EMILIN2
333,ENSG00000132329,RAMP1
334,ENSG00000132386,SERPINF1
335,ENSG00000132465,JCHAIN
336,ENSG00000132470,ITGB4
337,ENSG00000132475,H3-3B
338,ENSG00000132622,HSPA12B
339,ENSG00000133110,POSTN
340,ENSG00000133142,TCEAL4
341,ENSG00000133246,PRAM1
342,ENSG00000133321,PLAAT4
343,ENSG00000133392,MYH11
344,ENSG00000133466,C1QTNF6
345,ENSG00000133639,BTG1
346,ENSG00000133657,ATP13A3
347,ENSG00000134202,GSTM3
348,ENSG00000134321,RSAD2
349,ENSG00000134531,EMP1
350,ENSG00000134817,APLNR
351,ENSG00000134824,FADS2
352,ENSG00000135046,ANXA1
353,ENSG00000135114,OASL
354,ENSG00000135218,CD36
355,ENSG00000135424,ITGA7
356,ENSG00000135480,KRT7
357,ENSG00000135821,GLUL
358,ENSG00000135916,ITM2C
359,ENSG00000135919,SERPINE2
360,ENSG00000136059,VILL
361,ENSG00000136250,AOAH
362,ENSG00000136286,MYO1G
363,ENSG00000136425,CIB2
364,ENSG00000136630,HLX
365,ENSG00000136717,BIN1
366,ENSG00000136732,GYPC
367,ENSG00000136807,CDK9
