,query,symbol
828,__ambiguous[ENSG00000213316+ENSG00000161021],
829,__ambiguous[ENSG00000213397+ENSG00000183479],
830,__ambiguous[ENSG00000213402+ENSG00000172725],
831,__ambiguous[ENSG00000223953+ENSG00000259159],
832,__ambiguous[ENSG00000242086+ENSG00000176945],
833,__ambiguous[ENSG00000242114+ENSG00000249590],
834,__ambiguous[ENSG00000243649+ENSG00000244255],
835,__ambiguous[ENSG00000243678+ENSG00000011052],
836,__ambiguous[ENSG00000257341+ENSG00000213145],
837,__ambiguous[ENSG00000258311+ENSG00000135441],
838,__ambiguous[ENSG00000258555+ENSG00000128271],
839,__ambiguous[ENSG00000258674+ENSG00000186010],
840,__ambiguous[ENSG00000258818+ENSG00000259171],
841,__ambiguous[ENSG00000267120+ENSG00000126246],
842,__ambiguous[ENSG00000268400+ENSG00000229833],
843,__ambiguous[ENSG00000270136+ENSG00000158747],
844,__ambiguous[ENSG00000273259+ENSG00000196136],
